,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
31431,35507158,15,12.455511405072306,12.903497602207882,12.274856988472765,12.656427280596883,12.751073939839234,12.298389914189633,12.81437284048692,13.248648090263345
31432,35508287,15,12.454110315030597,12.90179911353619,12.272997844115155,12.654740149592463,12.750271699585664,12.297343968861298,12.813289655342585,13.248647528408332
31433,35509416,15,12.45238875448357,12.899914175112954,12.270756514001596,12.652451883930624,12.749807465043096,12.29669526875357,12.812772722546988,13.248646876907756
31434,35510545,15,12.450029824345824,12.897528063964952,12.268127730061542,12.649732733142155,12.74953912657364,12.295438092863657,12.812010615980155,13.24864656286278
31435,35511674,15,12.448468634339003,12.896104421549872,12.266772614106928,12.648141917536227,12.74957847134762,12.294808013678288,12.81180645445709,13.248646517754501
31436,35512803,15,12.447654692240256,12.89527457912998,12.265859436967053,12.64706233696888,12.748733763083521,12.293016582907136,12.810445814310423,13.248645686391802
31437,35513932,15,12.44675222756242,12.894282654764561,12.26478589959237,12.645836007057998,12.748840025728095,12.292592796892047,12.81061423920333,13.248646068384689
31438,35515061,15,12.445913897743157,12.893449839900866,12.263856459638372,12.644658506673126,12.748904006955673,12.292182099764842,12.810186318801728,13.248645641854514
31439,35516190,15,12.444594088115663,12.892118518551648,12.26234127969946,12.642973351797112,12.748902165447092,12.290459753727438,12.808877319238782,13.248645192484702
31440,35517319,15,12.443350977107123,12.891001845044064,12.261137306739148,12.641480492989997,12.748756397897358,12.288835716692958,12.807892694089931,13.248645304969903
31441,35518448,15,12.442110964868354,12.889933722490795,12.259915917763562,12.6399359703729,12.748546942241529,12.287714390656813,12.807384332748946,13.248645170216058
31442,35519577,15,12.441016568264937,12.889121688242748,12.258988585037782,12.638660475259687,12.748548089622151,12.287039746082314,12.807248057682742,13.24864528270126
31443,35520706,15,12.439407816123733,12.887600606548608,12.257287035910203,12.636683836702781,12.74849288982569,12.286731035312254,12.807241200519053,13.248645507100669
31444,35521835,15,12.438372670327292,12.886825905103922,12.256473973032364,12.635611231375615,12.748910412881434,12.287906601059683,12.808162131413285,13.248646114063959
31445,35522964,15,12.43845445507292,12.887144398366935,12.256922429358369,12.63594344947302,12.74953971281661,12.28976217917328,12.809378504961565,13.248646384142639
31446,35524093,15,12.438770109170406,12.887635640090723,12.257370688184036,12.636254704868582,12.749735741880029,12.290842219622705,12.809573435996786,13.248646294497073
31447,35525222,15,12.43886597409566,12.887856173604833,12.257681928637272,12.636542085522791,12.74955092335632,12.291145728528441,12.8093653175926,13.248645777750339
31448,35526351,15,12.439710232591871,12.888711395162865,12.258947859797896,12.637944484302286,12.749105026548058,12.291003815167342,12.809144645376326,13.248645440865728
31449,35527480,15,12.441091684533374,12.890050870279948,12.260392225822034,12.639510456067425,12.74895568250911,12.29103996458686,12.809066947168333,13.248645216466317
31450,35528609,15,12.44192226700009,12.890695458938131,12.261162029430187,12.640351970056294,12.748399492635873,12.29053486827768,12.808522164017168,13.248644767096508
31451,35529738,15,12.442254796078123,12.890812177417576,12.261567787186626,12.64099447444982,12.747006041276972,12.288313555135549,12.806696600395428,13.248643082673453
31452,35530867,15,12.442582979685978,12.89090952475735,12.261741579955247,12.641366085206688,12.745885920952054,12.286251418536379,12.80574088153027,13.248643015296533
31453,35531996,15,12.44291769819598,12.8911544868509,12.26191168549292,12.64159941438713,12.745514976392835,12.28496916066497,12.805359432692827,13.248643262535579
31454,35533125,15,12.443667978086303,12.891889280413118,12.262794738809536,12.642564922847491,12.745477420202723,12.284188784997449,12.805094821128586,13.248642678411922
31455,35534254,15,12.443792474308468,12.891697191199382,12.262215814260134,12.64217693696518,12.745462766164101,12.28344406180969,12.805033659760596,13.248643217427297
31456,35535383,15,12.44233816403052,12.889925447176081,12.259856098592367,12.639875055551055,12.745463459613537,12.283934911108656,12.805620694786027,13.248642970188254
31457,35536512,15,12.439935376753361,12.887239662269034,12.256664752504076,12.636638179981782,12.745460149783447,12.283114874594746,12.80486217569308,13.248642610464008
31458,35537641,15,12.437766054677931,12.885032613784848,12.254293480555742,12.63413754878958,12.745440638206162,12.28183559836189,12.804072271064255,13.248642610464008
31459,35538770,15,12.436744247548372,12.884186679652801,12.253779575461945,12.633301817157244,12.74491882836177,12.280212289891635,12.803118372418048,13.248641756832665
31460,35539899,15,12.43587748850727,12.883360669075275,12.252791864538581,12.63207011547697,12.743740704587683,12.277574943836921,12.801527591564417,13.248641037955165
31461,35541028,15,12.43444743066229,12.882067844574257,12.251511908343117,12.630423233391106,12.743112552033132,12.275482787022684,12.80067874134058,13.248641194977655
31462,35542157,15,12.433738583010584,12.881718639694625,12.251159285710303,12.629696835519484,12.743313625907273,12.275951039038954,12.801848538737532,13.248642026340354
31463,35543286,15,12.433802751262922,12.881899908901259,12.251487711203836,12.629856193586335,12.743284745298856,12.275979666980424,12.801894166229626,13.248641868746875
31464,35544415,15,12.433082854557583,12.880970726864055,12.250385729595662,12.62878314163898,12.742905793502064,12.275022288951197,12.801287086671545,13.248641779101309
31465,35545544,15,12.432270225946771,12.880094295380674,12.249458693120394,12.62791346402739,12.742906994485923,12.274564639439483,12.801303966101559,13.248641869317865
31466,35546673,15,12.43240779197323,12.880515745058936,12.249806772408492,12.628118666566403,12.74300241977786,12.275549153748631,12.802256256384872,13.248642588195365
31467,35547802,15,12.432420961958808,12.880510381414599,12.249596502331057,12.627816028759588,12.742670606258203,12.275556708075237,12.801783790566088,13.248641644918456
31468,35548931,15,12.430893590413099,12.878736583561189,12.247509310354689,12.625769447204952,12.741781241750273,12.272735202884018,12.79958418971666,13.24864067880191
31469,35550060,15,12.427748035985587,12.875357322450363,12.243930082801448,12.622067740529799,12.74095884871617,12.268926200902825,12.797131159414175,13.248639668148078
31470,35551189,15,12.424745773330168,12.872453946865443,12.24136404789994,12.619268016045167,12.74086700059197,12.266721289299552,12.796707881744146,13.2486403419173
31471,35552318,15,12.423850753748527,12.87200126432157,12.24129056689369,12.618780990476024,12.740867240788743,12.266068115891724,12.79690072908121,13.248640364756936
31472,35553447,15,12.422741335090175,12.870971945600212,12.240263250456952,12.6173755326801,12.740866466595193,12.26572564185526,12.797142026422996,13.248640319648656
31473,35554576,15,12.42113264973649,12.869428274891463,12.238719592809916,12.615567876807754,12.741048748803841,12.265813613668929,12.797483544416746,13.248640207163454
31474,35555705,15,12.418800396932514,12.866946196272096,12.235933609477378,12.612648372770417,12.740826481296489,12.265558348348812,12.797294864475994,13.248639735525002
31475,35556834,15,12.415303011833124,12.863456622824147,12.232094894092137,12.60860773257494,12.740895347882134,12.265739128294955,12.797240137900443,13.248639600771158
