Wavelength,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
8.984725966,0.00155883,0.00497341,0.08491912,0.38785175,0.00034507,0.00028233,0,0.3137
8.992805755,0.001782,0.00452925,0.07076025,0.432729,0.00041275,0.00015875,0,0.3175
9.00090009,0.00096564,0.00430824,0.06038964,0.47123232,0.00061123,0.00012868,0,0.3217
9.009009009,-0.00014864,0.00453352,0.05209832,0.50009928,0.00084604,0.00035794,0,0.3254
9.017132552,-0.00022308,0.005577,0.0438724,0.52029692,0.0006564,0.00072204,0,0.3282
9.025270758,-0.00044634,0.00557925,0.03615354,0.53419459,0.0003308,0.00076084,0,0.3308
9.033423668,-0.00089316,0.00364707,0.03021858,0.54371115,0.0002676,0.0004014,0,0.3345
9.04159132,-0.0007447,0.00230857,0.02666026,0.55085459,0.00010179,3.39E-05,0,0.3393
9.049773756,-0.00052164,0.00245916,0.02436804,0.55673892,-0.0001724,-0.00010344,0,0.3448
9.057971014,0.00044748,0.00283404,0.02132988,0.56166198,-0.00021048,0.00028064,0,0.3508
9.066183137,0.00209104,0.00253912,0.01769916,0.56614908,-0.00017895,0.0003579,0,0.3579
9.074410163,0.00291681,0.0022437,0.01540674,0.57124602,3.67E-05,0.0001833,0,0.3666
9.082652134,0.0017976,0.0023968,0.0146055,0.5740336,0.00030144,0.00022608,0,0.3768
9.090909091,0,0.00180072,0.01373049,0.56880243,0.00031056,0.00011646,0,0.3882
9.099181074,0,0.00142842,0.01187844,0.55054314,0.00028049,-0.00036063,0,0.4007
9.107468124,0.00105476,0.00180816,0.00971886,0.5175858,0.00024876,-0.00087066,0,0.4146
9.115770283,0.0011328,0.00098176,0.00785408,0.472,4.30E-05,-0.00068864,0,0.4304
9.124087591,0.00083325,0.000606,0.00719625,0.41609475,0.00031325,0,0,0.4475
9.132420091,-7.60E-05,0.00182472,0.00745094,0.35414774,0.00055836,0.00032571,0,0.4653
9.140767824,-0.00030528,0.00297648,0.0064872,0.29276352,9.68E-05,0.00029034,0,0.4839
9.149130833,0.00068949,0.00352406,0.0045966,0.23726117,-0.0004536,0.0003024,0,0.504
9.157509158,0.0006156,0.003078,0.00392445,0.19075905,-0.00063024,0.00015756,0,0.5252
9.165902841,-0.00054138,0.0023202,0.00494976,0.1527465,-0.00010924,-0.0005462,0,0.5462
9.174311927,-0.0011661,0.00178802,0.00629694,0.1220518,0.00090672,-0.00045336,0,0.5667
9.182736455,-0.0003126,0.0009378,0.00523605,0.09682785,0.00140976,0.00046992,0,0.5874
9.191176471,0.00125792,0.0007862,0.0015724,0.07791242,0.00158158,0.00024332,0,0.6083
9.199632015,0.00205712,0.0007912,-0.00063296,0.06416632,0.00144486,-0.00025128,0,0.6282
9.208103131,0.00167244,0.00047784,0.00167244,0.05184564,0.0009696,0.0003232,0,0.6464
9.216589862,0.001203,0.0012832,0.0054536,0.0418644,0.00112761,0.00126027,0,0.6633
9.225092251,0.00088825,0.00201875,0.00637925,0.034884,0.0012231,0.00129105,0,0.6795
9.233610342,-0.0004064,0.0016256,0.00316992,0.02934208,0,0.00041658,0,0.6943
9.242144177,-0.00196368,0.0008182,8.18E-05,0.024546,-0.00127206,-0.00021201,0,0.7067
9.250693802,-0.00205925,0.00074133,0.00172977,0.02034539,-0.00100464,-0.00028704,0,0.7176
9.259259259,-0.00099456,0.00198912,0.00555296,0.016576,0.00021831,0.00065493,0,0.7277
9.267840593,0.00033344,0.0025008,0.006252,0.0141712,0.00125239,0.00162074,0,0.7367
9.276437848,0.00108966,0.00217932,0.00259842,0.01307592,0.00119072,0.00119072,0,0.7442
9.285051068,0.00185306,0.00143191,-0.00160037,0.01145528,0.0004503,0,0,0.7505
9.293680297,0.00270688,0.00059213,-0.00118426,0.0093049,0.0004539,-0.0001513,0,0.7565
9.302325581,0.00229311,0.00033972,0.00288762,0.00806835,0.00129506,0.00053326,0,0.7618
9.310986965,0.00136336,0.00042605,0.00468655,0.00732806,0.00199238,0.00030652,0,0.7663
9.319664492,0.00025632,0.00068352,0.00187968,0.00709152,0.0018492,-7.71E-05,0,0.7705
9.328358209,-0.001284,0.0014552,-0.001712,0.0065912,0.0007751,-0.00015502,0,0.7751
9.337068161,-0.00188496,0.00239904,-0.00222768,0.00479808,-0.00031196,-0.00023397,0,0.7799
9.345794393,-0.00077121,0.00334191,0.00094259,0.00377036,7.84E-05,0.00062744,0,0.7843
9.35453695,0.00111345,0.0023982,0.00419685,0.0041112,0.00149834,0.0007886,0,0.7886
9.36329588,0.00188276,0.00025674,0.0025674,0.00393668,0.00222096,0.00015864,0,0.7932
9.372071228,0.00136752,8.55E-05,-0.00213675,0.00367521,0.0013566,-7.98E-05,0,0.798
