,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T1Therm(c),T2Therm(c)
34310,38755538,10,0.5141734777666667,0.5082696122666667,0.48239177169999997,0.5756305000666667,0.4207894413,0.5973309868000001,0.48856919576666674,0.4928789254333334,24.9385282844,25.211332270233335
34311,38756702,10,0.5141071586666667,0.5081995061333333,0.48231388163333333,0.5755553952666667,0.42079521363333333,0.5973324974333333,0.48857615093333334,0.4928845587666666,24.938365061366667,25.2112738427
34312,38757831,10,0.5140908408333333,0.5081934453,0.48231692253333336,0.5755525641666667,0.4207899697333333,0.5973227662666667,0.488571227,0.49288581236666656,24.9382055893,25.21120853416667
34313,38758960,10,0.5141240482666666,0.5082456036666666,0.4823708537666666,0.5755959223666667,0.4207952765666667,0.5973300453,0.4885881257333333,0.4929033668000001,24.938049771533333,25.211143330000002
34314,38760089,10,0.5141470353666667,0.5082741821666668,0.48238803706666666,0.5756098930000001,0.42084922356666665,0.5973895325333334,0.48864790406666664,0.4929262398333333,24.937967704266665,25.211076789033335
34315,38761218,10,0.5141166302,0.5082419792333334,0.4823523027666667,0.5755780034333333,0.42090085346666667,0.5974470593333333,0.4886870399,0.4929317394333333,24.937886955133337,25.211009736666668
34316,38762347,10,0.5140883558999999,0.5082151159,0.4823238711,0.5755504031666666,0.4209310016,0.5974843488333333,0.4887071277333333,0.4929357402,24.937737438,25.210947720466667
34317,38763476,10,0.5140865437000001,0.5082209813333334,0.48233546693333335,0.5755620986666666,0.4209263530333333,0.5974838137999999,0.48869949333333335,0.49293111916666665,24.9375813314,25.210889912566667
34318,38764605,10,0.5141143695333334,0.5082588622333334,0.48237704439999995,0.5755980231,0.4209050916,0.5974682827333333,0.48868015163333334,0.4929228894666666,24.937429987633333,25.210829228933335
34319,38765734,10,0.5141246684999999,0.5082673765,0.48238641626666673,0.5756093081666668,0.4208568383,0.5974241416666666,0.4886424792333333,0.4929167853333333,24.937279861199997,25.210760740433333
34320,38766863,10,0.5141061293,0.5082429980666667,0.48236132579999996,0.5755885424000001,0.42084876066666665,0.5974198143666666,0.4886544566666667,0.4929304530333333,24.9371299346,25.210694307033332
34321,38767992,10,0.5140798311333333,0.5082144418333334,0.48233651986666665,0.5755665584333334,0.4208467819,0.5974208909333334,0.4886683617,0.4929382579,24.9369754483,25.2106325968
34322,38769121,10,0.5140821429666667,0.5082270106666666,0.4823459153333333,0.5755758883666666,0.420883598,0.5974588806666667,0.48870990506666667,0.4929530690333333,24.9368159941,25.21057263286667
34323,38770250,10,0.5140876819,0.5082352063,0.4823516785,0.5755825209333333,0.42091250696666666,0.5974848077333333,0.4887299103,0.4929524146666666,24.936665559666668,25.210510409733335
34324,38771379,10,0.5140817390666667,0.5082331541,0.48234614479999993,0.5755762831,0.42091283873333335,0.5974852194666667,0.48871971099999995,0.49294638660000006,24.9365157328,25.210444491066667
34325,38772508,10,0.5140693118333334,0.5082220355666667,0.4823313913333333,0.5755619361333334,0.42086767880000003,0.5974366488333333,0.48867098696666667,0.4929280716333334,24.936360732233332,25.210374978233332
34326,38773637,10,0.5140656992,0.5082231882,0.4823334684666667,0.575566489,0.4208263977,0.5973948733666666,0.48865092010000005,0.4929326507,24.936203605933333,25.210310188100003
34327,38774766,10,0.5141075218666666,0.5082743172,0.4823877367,0.5756118902,0.4208235521666667,0.5973908411333334,0.4886685794000001,0.49294633940000004,24.9360497256,25.210244987833335
34328,38775895,10,0.5141148953333334,0.5082826085666666,0.4823959874,0.5756182447666667,0.4208387331,0.5974041941333333,0.48869344300000006,0.49295468846666674,24.935900712566667,25.210179889333332
